id;trait;name;quest_bonus
0;PURIFICATION;Coral Artemis' Bow;10
1;AURORA;Mythic Ares' Spear;23
2;CHAOS;Golden Athena's Spear;20
3;AURORA;Mercuris Poseidon's Trident;22
4;AURORA;Adamantine Demeter's Scythe;23
5;CHAOS;Amethyst Athena's Spear;17
6;AURORA;Coral Hermes' Wings;25
7;REFLECTION;Atlantis Apollo's Lyre;31
8;PURIFICATION;Mythic Hades' Bident;10
9;PURIFICATION;Amethyst Demeter's Scythe;10
10;CHAOS;Skybound Hephaestus' Hammer;17
11;PURIFICATION;Mercuris Hephaestus' Hammer;10
12;CONJUNCTION;Atlantis Athena's Spear;29
13;PURIFICATION;Emerald Athena's Spear;10
14;CHAOS;Transcendent Hera's Staff;20
15;CHAOS;Amethyst Ares' Sword;17
16;AGNO;Skybound Artemis' Bow;48
17;CHAOS;Transcendent Apollo's Lyre;17
18;CHAOS;Transcendent Ares' Spear;19
19;CHAOS;Toxic Artemis' Quiver;17
20;AURORA;Transcendent The Aegis;25
21;AURORA;Amethyst Demeter's Scythe;24
22;PURIFICATION;Emerald Athena's Spear;11
23;AURORA;Transcendent Artemis' Quiver;23
24;PURIFICATION;Mythic Apollo's Lyre;15
25;AURORA;Agno Athena's Spear;24
26;PURIFICATION;Skybound The Aegis;11
27;AURORA;Coral Hera's Staff;21
28;PURIFICATION;Golden The Aegis;11
29;PURIFICATION;Emerald Apollo's Lyre;12
30;AURORA;Adamantine Poseidon's Trident;21
31;AURORA;Golden Hermes' Wings;25
32;PURIFICATION;Skybound Artemis' Quiver;11
33;PURIFICATION;Emerald Demeter's Scythe;14
34;REFLECTION;Golden Apollo's Lyre;33
35;CHAOS;Mythic The Aegis;18
36;AURORA;Golden Zeus' Thunderbolt;23
37;AURORA;Coral Ares' Sword;21
38;CHAOS;Golden Athena's Spear;19
39;PURIFICATION;Coral Poseidon's Trident;14
40;CHAOS;Emerald Artemis' Bow;19
41;AURORA;Emerald Artemis' Quiver;23
42;CONJUNCTION;Coral Artemis' Bow;27
43;CHAOS;Mercuris Hephaestus' Hammer;17
44;CONJUNCTION;Skybound The Aegis;26
45;CONJUNCTION;Atlantis Artemis' Bow;28
46;AURORA;Golden Apollo's Lyre;22
47;ASTRAL;Coral Athena's Spear;37
48;PURIFICATION;Adamantine Artemis' Bow;12
49;CHAOS;Coral Apollo's Lyre;17
50;PURIFICATION;Toxic Artemis' Bow;10
51;AURORA;Mythic Apollo's Lyre;21
52;AURORA;Emerald Hera's Staff;25
53;CHAOS;Adamantine Ares' Sword;17
54;PURIFICATION;Skybound Hephaestus' Hammer;14
55;CHAOS;Amethyst The Aegis;20
56;CHAOS;Coral Demeter's Scythe;18
57;AURORA;Adamantine Athena's Spear;21
58;CHAOS;Amethyst Hades' Bident;18
59;CONJUNCTION;Golden Hephaestus' Hammer;30
60;PURIFICATION;Coral Ares' Spear;11
61;CONJUNCTION;Atlantis Ares' Spear;28
62;CHAOS;Skybound Ares' Spear;17
63;CONJUNCTION;Golden Demeter's Scythe;30
64;AURORA;Skybound Athena's Spear;25
65;PURIFICATION;Amethyst Apollo's Lyre;11
66;CHAOS;Mythic Hades' Bident;20
67;CHAOS;Adamantine Poseidon's Trident;19
68;AURORA;Skybound Demeter's Scythe;21
69;CHAOS;Amethyst Zeus' Thunderbolt;17
70;CONJUNCTION;Coral Hermes' Wings;26
71;CHAOS;Golden Athena's Spear;20
72;PURIFICATION;Amethyst Hera's Staff;11
73;CHAOS;Adamantine Hephaestus' Hammer;18
74;PURIFICATION;Emerald Hephaestus' Hammer;11
75;PURIFICATION;Skybound Ares' Spear;14
76;AURORA;Atlantis Artemis' Bow;22
77;AURORA;Mercuris Hephaestus' Hammer;25
78;PURIFICATION;Adamantine Artemis' Bow;10
79;AURORA;Atlantis Artemis' Bow;22
80;AURORA;Skybound Demeter's Scythe;24
81;CHAOS;Golden Hermes' Wings;17
82;ASTRAL;Coral Hera's Staff;40
83;AURORA;Skybound Zeus' Thunderbolt;25
84;PURIFICATION;Toxic Hermes' Wings;14
85;REFLECTION;Skybound Hephaestus' Hammer;32
86;CONJUNCTION;Skybound Artemis' Quiver;28
87;CONJUNCTION;Mythic The Aegis;27
88;CHAOS;Mercuris Athena's Spear;17
89;CHAOS;Golden Athena's Spear;17
90;AURORA;Transcendent Zeus' Thunderbolt;22
91;CHAOS;Golden Ares' Sword;18
92;PURIFICATION;Transcendent Zeus' Thunderbolt;14
93;CONJUNCTION;Coral Artemis' Quiver;29
94;PURIFICATION;Skybound Hephaestus' Hammer;10
95;AURORA;Mythic Athena's Spear;23
96;CHAOS;Skybound Zeus' Thunderbolt;18
97;AURORA;Golden Zeus' Thunderbolt;25
98;AURORA;Golden Demeter's Scythe;22
99;CHAOS;Emerald Athena's Spear;20
100;AURORA;Skybound Zeus' Thunderbolt;21
101;AGNO;Amethyst Artemis' Quiver;45
102;PURIFICATION;Golden Demeter's Scythe;15
103;AURORA;Amethyst Ares' Spear;25
104;CHAOS;Skybound Zeus' Thunderbolt;17
105;CHAOS;Amethyst Athena's Spear;17
106;CONJUNCTION;Skybound Hades' Bident;27
107;CONJUNCTION;Emerald Hades' Bident;27
108;CHAOS;Adamantine Hera's Staff;17
109;CHAOS;Adamantine Artemis' Quiver;17
110;PURIFICATION;Mercuris Demeter's Scythe;12
111;CHAOS;Amethyst Zeus' Thunderbolt;17
112;CHAOS;Agno Artemis' Quiver;20
113;AURORA;Emerald Hera's Staff;21
114;CHAOS;Atlantis Hephaestus' Hammer;20
115;PURIFICATION;Adamantine Hades' Bident;13
116;CHAOS;Transcendent Ares' Sword;19
117;CHAOS;Mythic Ares' Spear;19
118;PURIFICATION;Emerald Zeus' Thunderbolt;13
119;CHAOS;Coral Zeus' Thunderbolt;19
120;REFLECTION;Golden Hera's Staff;34
121;CHAOS;Amethyst Hades' Bident;17
122;AURORA;Emerald The Aegis;21
123;PURIFICATION;Adamantine Ares' Sword;11
124;CONJUNCTION;Agno Ares' Sword;29
125;PURIFICATION;Mythic Demeter's Scythe;13
126;PURIFICATION;Adamantine Hephaestus' Hammer;12
127;AURORA;Toxic Hephaestus' Hammer;21
128;AURORA;Adamantine The Aegis;22
129;CHAOS;Coral Athena's Spear;17
130;PURIFICATION;Coral Demeter's Scythe;14
131;AURORA;Amethyst Apollo's Lyre;24
132;CHAOS;Amethyst Poseidon's Trident;19
133;PURIFICATION;Atlantis Poseidon's Trident;15
134;PURIFICATION;Mythic Hephaestus' Hammer;12
135;PURIFICATION;Golden The Aegis;10
136;PURIFICATION;Mercuris Hera's Staff;12
137;PURIFICATION;Coral The Aegis;10
138;AURORA;Coral Athena's Spear;22
139;PURIFICATION;Golden Ares' Spear;11
140;CHAOS;Golden The Aegis;19
141;CHAOS;Amethyst Hermes' Wings;17
142;CONJUNCTION;Skybound Hera's Staff;29
143;AURORA;Mythic Hera's Staff;23
144;AURORA;Emerald Hades' Bident;24
145;PURIFICATION;Amethyst Ares' Spear;11
146;CONJUNCTION;Golden Ares' Sword;26
147;CONJUNCTION;Adamantine Hermes' Wings;30
148;CHAOS;Transcendent Athena's Spear;20
149;CHAOS;Mythic Hades' Bident;18
150;PURIFICATION;Amethyst Hermes' Wings;15
151;PURIFICATION;Adamantine Ares' Spear;16
152;AURORA;Emerald Athena's Spear;22
153;ASTRAL;Mythic Artemis' Bow;38
154;CHAOS;Adamantine Artemis' Quiver;19
155;CHAOS;Adamantine Hades' Bident;18
156;CHAOS;Emerald The Aegis;20
157;CONJUNCTION;Golden Hera's Staff;29
158;CHAOS;Golden Apollo's Lyre;20
159;PURIFICATION;Agno Hera's Staff;15
160;PURIFICATION;Amethyst Zeus' Thunderbolt;13
161;CHAOS;Mercuris Artemis' Quiver;18
162;CHAOS;Adamantine Demeter's Scythe;19
163;CHAOS;Emerald Hermes' Wings;19
164;AURORA;Emerald Ares' Sword;23
165;PURIFICATION;Golden Zeus' Thunderbolt;16
166;CONJUNCTION;Coral Apollo's Lyre;28
167;AURORA;Amethyst Hades' Bident;24
168;PURIFICATION;Adamantine Demeter's Scythe;15
169;PURIFICATION;Transcendent Artemis' Bow;13
170;CHAOS;Atlantis Apollo's Lyre;19
171;AURORA;Golden Hera's Staff;24
172;PURIFICATION;Coral Ares' Sword;11
173;AURORA;Emerald Demeter's Scythe;25
174;PURIFICATION;Adamantine Hades' Bident;10
175;CHAOS;Mythic Poseidon's Trident;17
176;CHAOS;Emerald Artemis' Quiver;17
177;PURIFICATION;Amethyst Artemis' Quiver;12
178;CONJUNCTION;Amethyst Hades' Bident;28
179;CHAOS;Atlantis The Aegis;17
180;CHAOS;Coral Hera's Staff;20
181;CHAOS;Coral Poseidon's Trident;19
182;CHAOS;Atlantis Hera's Staff;19
183;PURIFICATION;Adamantine Hephaestus' Hammer;13
184;CHAOS;Coral Zeus' Thunderbolt;20
185;CHAOS;Golden Artemis' Bow;17
186;PURIFICATION;Toxic Demeter's Scythe;15
187;CHAOS;Amethyst Zeus' Thunderbolt;19
188;CHAOS;Adamantine Athena's Spear;18
189;PURIFICATION;Coral Demeter's Scythe;14
190;AURORA;Emerald Athena's Spear;25
191;AURORA;Mercuris Athena's Spear;22
192;AURORA;Skybound Zeus' Thunderbolt;25
193;AURORA;Coral Ares' Spear;21
194;CONJUNCTION;Toxic Zeus' Thunderbolt;30
195;CHAOS;Skybound Zeus' Thunderbolt;19
196;REFLECTION;Skybound Zeus' Thunderbolt;33
197;AURORA;Agno Poseidon's Trident;21
198;AURORA;Toxic Zeus' Thunderbolt;25
199;PURIFICATION;Emerald Poseidon's Trident;16
200;PURIFICATION;Mythic Zeus' Thunderbolt;14
201;PURIFICATION;Amethyst Zeus' Thunderbolt;16
202;AURORA;Toxic Hermes' Wings;25
203;AURORA;Transcendent Poseidon's Trident;25
204;PURIFICATION;Skybound Ares' Sword;14
205;CHAOS;Skybound Hermes' Wings;17
206;CHAOS;Skybound Artemis' Bow;17
207;PURIFICATION;Amethyst Ares' Spear;11
208;AURORA;Skybound Poseidon's Trident;21
209;CHAOS;Adamantine Athena's Spear;17
210;PURIFICATION;Mercuris Artemis' Quiver;12
211;PURIFICATION;Toxic Zeus' Thunderbolt;15
212;CONJUNCTION;Mythic Ares' Sword;29
213;PURIFICATION;Adamantine Hades' Bident;16
214;CHAOS;Emerald Hera's Staff;20
215;AURORA;Emerald Hermes' Wings;22
216;PURIFICATION;Mythic Hermes' Wings;11
217;PURIFICATION;Skybound The Aegis;10
218;CHAOS;Adamantine Hera's Staff;20
219;AURORA;Skybound Artemis' Quiver;24
220;PURIFICATION;Atlantis Demeter's Scythe;10
221;CHAOS;Adamantine The Aegis;17
222;ASTRAL;Coral Zeus' Thunderbolt;41
223;CHAOS;Toxic Poseidon's Trident;20
224;CHAOS;Adamantine Artemis' Bow;17
225;CHAOS;Mercuris Poseidon's Trident;20
226;AURORA;Atlantis Zeus' Thunderbolt;21
227;CHAOS;Adamantine Ares' Sword;19
228;PURIFICATION;Adamantine Artemis' Quiver;16
229;AURORA;Coral Hera's Staff;24
